#4u 1543-47
#All NICER
# obs id	MJD		day 	T_in		err 1   err 2		norm    err 1 		err 2		Flux_tot(0.8-10)  error
4202230101	59377.1458	7.14580	1.148500	1.1469	1.1499		5628.80	5595.8804	5663.4376	1.47538635E-07	9.74896000E-11
4202230102	59378.0503	8.05030	1.256200	1.255	1.2575		5827.36	5799.1723	5854.2507	2.24908223E-07	1.40031250E-10
4202230103	59379.7419	9.74190	1.308900	1.3072	1.3106		6340.22	6303.9974	6376.5035	2.93102291E-07	3.31880500E-10
4202230106	59382.0526	12.0526	1.290700	1.2868	1.2967		6054.72	5953.3068	6126.7377	2.61719232E-07	2.45695700E-10
4202230108	59384.1187	14.1187	1.25910		1.2571	1.2613		5942.40	5897.077	5982.3242	2.30967365E-07	1.10487100E-10
4202230112	59388.1850	18.1850	1.170300	1.1685	1.1719		6161.77	6123.4833	6197.31	 	1.75008085E-07	1.37061500E-10
4202230117	59393.1560	23.1560	1.133700	1.1326	1.1348		5766.38	5739.8476	5793.7892	1.42159189E-07	1.24653850E-10
4202230123	59400.1322	30.1322	1.095300	1.0903	1.1024		5392.93	5272.1554	5486.1934	1.13131013E-07	1.48215750E-10
4655060401	59406.1983	36.1983	1.060100	1.0563	1.065		5552.27	5457.1835	5632.6233	1.00979754E-07	1.10188800E-10
4202230130	59411.2323	41.2323	1.020500	1.018	1.0236		5784.13	5712.5261	5845.3601	8.91883566E-08	1.03575650E-10
4202230136	59416.5891	46.5891	0.990700	0.9897	0.9916		6020.41	5991.0702	6049.5664	8.13313688E-08	1.35214139E-09
4202230147	59433.1684	63.1684	0.966600	0.9623	0.9754		5540.96	5381.8854	5638.8206	6.69008750E-08	1.52489140E-10
4202230148	59443.2937	73.2937	0.954800	0.9537	0.9559		5820.54	5786.8879	5853.7353	6.67093570E-08	8.71795000E-11
4202230158	59453.6247	83.6247	0.933200	0.9321	0.9343		5849.18	5813.5539	5884.9979	6.07484790E-08	8.04374950E-11
4202230166	59464.1972	94.1972	0.911000	0.9102	0.9119		5934.96	5905.0448	5965.1573	5.50611941E-08	3.92530050E-11
4202230171	59471.4324	101.432	0.911300	0.9103	0.9123		5835.00	5802.059	5867.7865	5.42278190E-08	5.13318550E-11

